video_id,angry_mean,angry_std,angry_max,disgust_mean,disgust_std,disgust_max,fear_mean,fear_std,fear_max,happy_mean,happy_std,happy_max,sadness_mean,sadness_std,sadness_max,surprise_mean,surprise_std,surprise_max,neutral_mean,neutral_std,neutral_max,positivity_index,total_facial_expression
--Ymqszjv54.001,0.0,0.0,0.0,-0.0506345612232628,-0.0640573637490894,-0.0660818600455089,-0.3949882697896675,-0.450315023417261,-0.5039163044133798,0.0,0.0,0.0,-0.1549261213035279,-0.1931229433231537,-0.2,-0.3194352287271025,1.4042349543404988,0.6253168538536457,0.5760196048607107,1.565509601395127,0.8099697249984179,0.4232900065769787,1.142233407220153
--Ymqszjv54.003,0.0,0.0,0.0,-0.0506345612232628,-0.0640573637490894,-0.0660818600455089,-0.3949882697896675,-0.450315023417261,-0.5039163044133798,0.0,0.0,0.0,-0.1549261213035279,-0.1931229433231537,-0.2,0.2866126998843548,1.4042349543404988,0.6253168538536457,-0.0322057198323498,1.565509601395127,0.8099697249984179,0.4232900065769787,1.142233407220153
--Ymqszjv54.004,0.0,0.0,0.0,-0.0506345612232628,-0.0640573637490894,-0.0660818600455089,0.1362802263736894,1.681810560143431,1.984456528280271,0.0,0.0,0.0,-0.1549261213035279,-0.1931229433231537,-0.2,0.5896366641900834,1.162116151063676,0.6253168538536457,-0.6404310445254104,0.8207392766794042,0.8099697249984179,-0.0866421808348808,1.412720975712538
--Ymqszjv54.005,0.0,0.0,0.0,-0.0506345612232628,-0.0640573637490894,-0.0660818600455089,-0.3949882697896675,-0.450315023417261,-0.5039163044133798,0.0,0.0,0.0,-0.1549261213035279,-0.1931229433231537,-0.2,-0.0164112644213738,1.479447706282324,0.6253168538536457,0.2719069425141804,1.642592200105482,0.8099697249984179,0.4232900065769787,1.2102903569989525
-2qsCrkXdWs.001,0.0,0.0,0.0,-0.0506345612232628,-0.0640573637490894,-0.0660818600455089,-0.3949882697896675,-0.450315023417261,-0.5039163044133798,0.0,0.0,0.0,-0.1549261213035279,-0.1931229433231537,-0.2,-1.2285071216442884,-0.8891472675593635,-1.5991892651498056,1.4883575919003014,-0.7848878636105725,0.8099697249984179,0.4232900065769787,-0.932954571809696
-55DRRMTppE.000,0.0,0.0,0.0,-0.0506345612232628,-0.0640573637490894,-0.0660818600455089,-0.3949882697896675,-0.450315023417261,-0.5039163044133798,0.0,0.0,0.0,-0.1549261213035279,-0.1931229433231537,-0.2,1.1956845928015407,-0.8891472675593635,0.6253168538536457,-0.9445437068719408,-0.7848878636105725,-1.2346140468422484,0.4232900065769787,-0.932954571809696
-55DRRMTppE.005,0.0,0.0,0.0,-0.0506345612232628,-0.0640573637490894,-0.0660818600455089,0.1362802263736894,1.681810560143431,1.984456528280271,0.0,0.0,0.0,-0.1549261213035279,-0.1931229433231537,-0.2,0.8926606284958121,0.6775310467962976,0.6253168538536457,-0.9445437068719408,-0.7848878636105725,-1.2346140468422484,-0.0866421808348808,0.4846686982723078
-5riMLK-PgU.001,0.0,0.0,0.0,-0.0506345612232628,-0.0640573637490894,-0.0660818600455089,-0.3949882697896675,-0.450315023417261,-0.5039163044133798,0.0,0.0,0.0,-0.1549261213035279,-0.1931229433231537,-0.2,-0.6224591930328313,1.162116151063676,0.6253168538536457,0.8801322672072409,1.3173715387477982,0.8099697249984179,0.4232900065769787,0.923149983070764
-6otZ7M-Mro.000,0.0,0.0,0.0,-0.0506345612232628,-0.0640573637490894,-0.0660818600455089,-0.3949882697896675,-0.450315023417261,-0.5039163044133798,0.0,0.0,0.0,-0.1549261213035279,-0.1931229433231537,-0.2,0.8926606284958121,0.6775310467962976,0.6253168538536457,-0.6404310445254104,0.8207392766794042,0.8099697249984179,0.4232900065769787,0.4846686982723078
-6otZ7M-Mro.001,0.0,0.0,0.0,-0.0506345612232628,-0.0640573637490894,-0.0660818600455089,-0.3949882697896675,-0.450315023417261,-0.5039163044133798,0.0,0.0,0.0,-0.1549261213035279,-0.1931229433231537,-0.2,0.8926606284958121,0.6775310467962976,0.6253168538536457,-0.6404310445254104,0.8207392766794042,0.8099697249984179,0.4232900065769787,0.4846686982723078
-8asrRvfJWA.003,0.0,0.0,0.0,-0.0506345612232628,-0.0640573637490894,-0.0660818600455089,-0.3949882697896675,-0.450315023417261,-0.5039163044133798,0.0,0.0,0.0,-0.1549261213035279,-0.1931229433231537,-0.2,0.2866126998843548,1.4042349543404988,0.6253168538536457,-0.0322057198323498,1.565509601395127,0.8099697249984179,0.4232900065769787,1.142233407220153
-8asrRvfJWA.004,0.0,0.0,0.0,-0.0506345612232628,-0.0640573637490894,-0.0660818600455089,-0.3949882697896675,-0.450315023417261,-0.5039163044133798,0.0,0.0,0.0,-0.1549261213035279,-0.1931229433231537,-0.2,-1.2285071216442884,-0.8891472675593635,-1.5991892651498056,1.4883575919003014,-0.7848878636105725,0.8099697249984179,0.4232900065769787,-0.932954571809696
-9BZ8A9U7TE.000,0.0,0.0,0.0,-0.0506345612232628,-0.0640573637490894,-0.0660818600455089,1.1988172187004034,2.670797245381209,1.984456528280271,0.0,0.0,0.0,-0.1549261213035279,-0.1931229433231537,-0.2,-0.0164112644213738,1.479447706282324,0.6253168538536457,-0.6404310445254104,0.8207392766794042,0.8099697249984179,-1.1065065556586,1.8850735171505544
-9BZ8A9U7TE.003,0.0,0.0,0.0,-0.0506345612232628,-0.0640573637490894,-0.0660818600455089,0.1362802263736894,1.681810560143431,1.984456528280271,0.0,0.0,0.0,-0.1549261213035279,-0.1931229433231537,-0.2,-1.2285071216442884,-0.8891472675593635,-1.5991892651498056,1.1842449295537711,0.8207392766794042,0.8099697249984179,-0.0866421808348808,0.4846686982723078
